"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Nova Scotia","Both sexes","Total","20+","2002–2003","318","6.62","306","332","2.08","2315","727040",
"Nova Scotia","Females","Total","20+","2002–2003","237","7.89","221","253","3.33","900","380345",
"Nova Scotia","Males","Total","20+","2002–2003","410","10.87","389","431","2.65","1420","346695",
"Nova Scotia","Both sexes","Total","20+","2003–2004","340","6.81","326","353","2.00","2490","733040",
"Nova Scotia","Females","Total","20+","2003–2004","257","8.19","241","274","3.19","985","383270",
"Nova Scotia","Males","Total","20+","2003–2004","430","11.09","409","453","2.58","1505","349765",
"Nova Scotia","Both sexes","Total","20+","2004–2005","311","6.49","299","324","2.09","2300","739045",
"Nova Scotia","Females","Total","20+","2004–2005","236","7.81","221","251","3.31","910","386275",
"Nova Scotia","Males","Total","20+","2004–2005","394","10.57","374","415","2.68","1390","352770",
"Nova Scotia","Both sexes","Total","20+","2005–2006","308","6.43","295","320","2.09","2290","744545",
"Nova Scotia","Females","Total","20+","2005–2006","225","7.60","210","240","3.38","875","389100",
"Nova Scotia","Males","Total","20+","2005–2006","397","10.56","376","418","2.66","1410","355435",
"Nova Scotia","Both sexes","Total","20+","2006–2007","295","6.28","283","308","2.12","2215","749685",
"Nova Scotia","Females","Total","20+","2006–2007","218","7.46","204","233","3.42","855","391975",
"Nova Scotia","Males","Total","20+","2006–2007","382","10.33","362","402","2.71","1365","357720",
"Nova Scotia","Both sexes","Total","20+","2007–2008","325","6.56","312","338","2.02","2445","753235",
"Nova Scotia","Females","Total","20+","2007–2008","237","7.76","222","253","3.27","935","394195",
"Nova Scotia","Males","Total","20+","2007–2008","421","10.82","400","442","2.57","1510","359040",
"Nova Scotia","Both sexes","Total","20+","2008–2009","309","6.38","297","322","2.06","2350","759620",
"Nova Scotia","Females","Total","20+","2008–2009","237","7.72","222","252","3.26","940","397390",
"Nova Scotia","Males","Total","20+","2008–2009","388","10.35","368","409","2.67","1405","362230",
"Nova Scotia","Both sexes","Total","20+","2009–2010","314","6.40","302","327","2.04","2410","766565",
"Nova Scotia","Females","Total","20+","2009–2010","232","7.61","217","248","3.28","930","400665",
"Nova Scotia","Males","Total","20+","2009–2010","404","10.51","384","426","2.60","1480","365900",
"Nova Scotia","Both sexes","Total","20+","2010–2011","309","6.31","297","322","2.04","2395","775290",
"Nova Scotia","Females","Total","20+","2010–2011","235","7.61","220","250","3.24","950","404865",
"Nova Scotia","Males","Total","20+","2010–2011","390","10.26","370","411","2.63","1445","370430",
"Nova Scotia","Both sexes","Total","20+","2011–2012","298","6.18","286","311","2.07","2335","782300",
"Nova Scotia","Females","Total","20+","2011–2012","218","7.31","204","233","3.35","890","408295",
"Nova Scotia","Males","Total","20+","2011–2012","388","10.18","368","408","2.63","1450","374005",
"Nova Scotia","Both sexes","Total","20+","2012–2013","321","6.38","308","333","1.99","2525","787740",
"Nova Scotia","Females","Total","20+","2012–2013","242","7.67","227","258","3.17","995","411105",
"Nova Scotia","Males","Total","20+","2012–2013","406","10.39","386","427","2.56","1530","376630",
