"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Prince Edward Island","Both sexes","Total","20+","2012–2013","562","22.38","519","607","3.98","630","112155",
"Prince Edward Island","Females","Total","20+","2012–2013","401","26.15","351","455","6.52","235","58630",
"Prince Edward Island","Males","Total","20+","2012–2013","738","37.13","667","815","5.03","395","53520",
"Prince Edward Island","Both sexes","Total","20+","2013–2014","562","22.29","519","607","3.97","635","113055",
"Prince Edward Island","Females","Total","20+","2013–2014","440","27.32","389","497","6.20","260","59025",
"Prince Edward Island","Males","Total","20+","2013–2014","694","35.84","626","768","5.16","375","54030",
"Prince Edward Island","Both sexes","Total","20+","2014–2015","515","21.29","474","558","4.13","585","113610",
"Prince Edward Island","Females","Total","20+","2014–2015","396","25.82","347","450","6.52","235","59370",
"Prince Edward Island","Males","Total","20+","2014–2015","645","34.49","579","717","5.35","350","54240",
"Prince Edward Island","Both sexes","Total","20+","2015–2016","487","20.69","448","530","4.24","555","113860",
"Prince Edward Island","Females","Total","20+","2015–2016","369","24.89","322","421","6.74","220","59580",
"Prince Edward Island","Males","Total","20+","2015–2016","617","33.72","553","687","5.46","335","54285",
"Prince Edward Island","Both sexes","Total","20+","2016–2017","481","20.44","442","523","4.24","555","115280",
"Prince Edward Island","Females","Total","20+","2016–2017","357","24.34","311","408","6.82","215","60245",
"Prince Edward Island","Males","Total","20+","2016–2017","618","33.50","554","687","5.42","340","55040",
"Prince Edward Island","Both sexes","Total","20+","2017–2018","477","20.15","438","518","4.23","560","117455",
"Prince Edward Island","Females","Total","20+","2017–2018","334","23.35","290","383","6.98","205","61315",
"Prince Edward Island","Males","Total","20+","2017–2018","632","33.56","568","702","5.31","355","56135",
"Prince Edward Island","Both sexes","Total","20+","2018–2019","478","19.95","440","519","4.17","575","120215",
"Prince Edward Island","Females","Total","20+","2018–2019","359","23.96","314","410","6.67","225","62595",
"Prince Edward Island","Males","Total","20+","2018–2019","616","32.70","554","684","5.31","355","57620",
"Prince Edward Island","Both sexes","Total","20+","2019–2020","446","18.95","410","485","4.24","555","124310",
"Prince Edward Island","Females","Total","20+","2019–2020","348","23.22","304","397","6.67","225","64605",
"Prince Edward Island","Males","Total","20+","2019–2020","553","30.43","495","616","5.50","330","59705",
"Prince Edward Island","Both sexes","Total","20+","2020–2021*","451","18.89","415","490","4.19","570","126375",
"Prince Edward Island","Females","Total","20+","2020–2021*","374","23.87","328","424","6.39","245","65565",
